address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
101 Warren St APT 2510,New York,NY,10007,6495000,2530.0,3.0,4.0,8,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Warren-St-APT-2510-New-York-NY-10007/219636958_zpid/
101 Warren St APT 820,NEW YORK,NY,10007,3975000,1860.0,2.0,3.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Warren-St-APT-820-New-York-NY-10007/89333589_zpid/
57 Reade St APT 21B,NEW YORK,NY,10007,2529000,1294.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/57-Reade-St-APT-21B-New-York-NY-10007/120288238_zpid/
77 Reade St APT 2D,NEW YORK,NY,10007,1300000,855.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/77-Reade-St-APT-2D-New-York-NY-10007/117451077_zpid/
295 Greenwich St APT 6C,New York,NY,10007,1175000,700.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/295-Greenwich-St-APT-6C-New-York-NY-10007/2089697602_zpid/
200 Chambers St,New York,NY,10007,2000000,1345.0,2.0,NA,16,Auction,http://www.zillow.com/homes/for_sale//homedetails/200-Chambers-St-New-York-NY-10007/79974806_zpid/
2 Park Pl APT 40A,New York,NY,10007,21325000,6095.0,4.0,6.0,30,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Park-Pl-APT-40A-New-York-NY-10007/2090143981_zpid/
111 Murray St # 22WEST,New York,NY,10007,7700000,2685.0,4.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Murray-St-22WEST-New-York-NY-10007/2089779025_zpid/
55 Warren St APT 3,NEW YORK,NY,10007,6000000,3627.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Warren-St-APT-3-New-York-NY-10007/117456720_zpid/
45 Park Pl # 32,New York,NY,10007,12000000,3238.0,4.0,5.0,25,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-Park-Pl-32-New-York-NY-10007/2090045916_zpid/
100 Barclay St APT 11G,New York,NY,10007,4796500,2342.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Barclay-St-APT-11G-New-York-NY-10007/2093387229_zpid/
18 Warren St OFC 1,New York,NY,10007,4150000,4397.0,4.0,2.0,21,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Warren-St-OFC-1-New-York-NY-10007/2089937278_zpid/
57 Reade St # 15BC,New York,NY,10007,6495000,3000.0,5.0,5.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/57-Reade-St-15BC-New-York-NY-10007/2089900276_zpid/
106 Duane St APT 5,NEW YORK,NY,10007,3875000,1850.0,3.0,2.0,22,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/106-Duane-St-APT-5-New-York-NY-10007/65322033_zpid/
