address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
475 Fdr Dr # L206/207,New York,NY,10002,1650000,1600.0,4.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/475-Fdr-Dr-L206-207-New-York-NY-10002/2090953621_zpid/
287 E Houston St # PHB,New York,NY,10002,5700000,1953.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/287-E-Houston-St-PHB-New-York-NY-10002/2089940896_zpid/
417 Grand St APT D301,New York,NY,10002,725000,800.0,1.0,1.0,86,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/417-Grand-St-APT-D301-New-York-NY-10002/2091057514_zpid/
504 Grand St APT A15,New York,NY,10002,850000,NA,2.0,1.0,12,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/504-Grand-St-APT-A15-New-York-NY-10002/245086269_zpid/
268 E Broadway APT 104,New York,NY,10002,1100000,1000.0,2.0,1.0,11,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/268-E-Broadway-APT-104-New-York-NY-10002/2094533762_zpid/
48 Hester St APT 2C,New York,NY,10002,1050000,778.0,2.0,1.0,42,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/48-Hester-St-APT-2C-New-York-NY-10002/31495593_zpid/
125 Henry St,New York,NY,10002,6000000,NA,0.0,NA,8,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/125-Henry-St-New-York-NY-10002/2089715003_zpid/
268 E Broadway APT A2003,New York,NY,10002,899000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/268-E-Broadway-APT-A2003-New-York-NY-10002/2089990929_zpid/
71 Ludlow St APT 3A,NEW YORK,NY,10002,2150000,1646.0,3.0,2.0,32,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/71-Ludlow-St-APT-3A-New-York-NY-10002/97518317_zpid/
383 Grand St APT M1803,New York,NY,10002,985000,750.0,1.0,1.0,43,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/383-Grand-St-APT-M1803-New-York-NY-10002/219638382_zpid/
455 Fdr Dr APT B401,New York,NY,10002,799000,1055.0,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/455-Fdr-Dr-APT-B401-New-York-NY-10002/2090287048_zpid/
142 Henry St APT 7,NEW YORK,NY,10002,3275000,1900.0,3.0,2.0,36,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/142-Henry-St-APT-7-New-York-NY-10002/69524014_zpid/
115 Norfolk St APT 501,NEW YORK,NY,10002,1495000,888.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/115-Norfolk-St-APT-501-New-York-NY-10002/117455994_zpid/
118 Forsyth St APT 2,New York,NY,10002,3250000,2300.0,2.0,2.0,28,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/118-Forsyth-St-APT-2-New-York-NY-10002/72511671_zpid/
568 Grand St APT J502,New York,NY,10002,649000,NA,1.0,1.0,21,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/568-Grand-St-APT-J502-New-York-NY-10002/72511241_zpid/
550 Grand St APT H10C,New York,NY,10002,825000,NA,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-Grand-St-APT-H10C-New-York-NY-10002/72511390_zpid/
311 Cherry St APT L2,New York,NY,10002,1680000,1239.0,4.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/311-Cherry-St-APT-L2-New-York-NY-10002/2090864919_zpid/
310 E Houston St APT 5A,NEW YORK,NY,10002,1150000,722.0,1.0,1.0,14,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/310-E-Houston-St-APT-5A-New-York-NY-10002/83941868_zpid/
242 Broome St # 9C,New York,NY,10002,2900000,1522.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/242-Broome-St-9C-New-York-NY-10002/2094562439_zpid/
